epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,287.118,0.07911,0.95283,1,0.15193,0.0092575,0.0092575,0.0092575
77,290.763,0.12785,0.95283,1,0.33366,0.0092476,0.0092476,0.0092476
78,294.306,0.09818,0.95283,1,0.12852,0.0092377,0.0092377,0.0092377
79,297.978,0.07767,0.9434,1,0.18931,0.0092278,0.0092278,0.0092278
80,301.681,0.10146,0.96226,1,0.1087,0.0092179,0.0092179,0.0092179
81,305.431,0.09346,0.95283,1,0.15356,0.009208,0.009208,0.009208
82,309.13,0.09216,0.95283,1,0.14865,0.0091981,0.0091981,0.0091981
83,312.757,0.0944,0.9717,1,0.08066,0.0091882,0.0091882,0.0091882
84,316.522,0.12325,0.96226,1,0.17282,0.0091783,0.0091783,0.0091783
85,320.294,0.09227,0.9434,1,0.18245,0.0091684,0.0091684,0.0091684
86,324.074,0.06777,0.96226,1,0.12848,0.0091585,0.0091585,0.0091585
87,327.837,0.08041,0.95283,1,0.16405,0.0091486,0.0091486,0.0091486
88,331.547,0.08782,0.9434,1,0.31677,0.0091387,0.0091387,0.0091387
89,335.356,0.08075,0.93396,1,0.32228,0.0091288,0.0091288,0.0091288
90,339.114,0.09973,0.95283,1,0.22965,0.0091189,0.0091189,0.0091189
91,342.891,0.0941,0.96226,1,0.16791,0.009109,0.009109,0.009109
92,346.525,0.07907,0.95283,1,0.38396,0.0090991,0.0090991,0.0090991
93,350.312,0.07486,0.95283,1,0.18965,0.0090892,0.0090892,0.0090892
94,353.905,0.06735,0.9434,1,0.20431,0.0090793,0.0090793,0.0090793
95,357.583,0.0731,0.9434,1,0.23481,0.0090694,0.0090694,0.0090694
96,361.328,0.08282,0.92453,1,0.29034,0.0090595,0.0090595,0.0090595
97,365.081,0.06857,0.95283,1,0.21618,0.0090496,0.0090496,0.0090496
98,368.778,0.09516,0.93396,1,0.27469,0.0090397,0.0090397,0.0090397
99,372.71,0.11865,0.9717,1,0.12415,0.0090298,0.0090298,0.0090298
100,376.473,0.13129,0.9717,1,0.11851,0.0090199,0.0090199,0.0090199
101,380.252,0.06927,0.9434,1,0.21336,0.00901,0.00901,0.00901
102,383.965,0.08482,0.9434,1,0.24356,0.0090001,0.0090001,0.0090001
103,387.673,0.05442,0.92453,1,0.2995,0.0089902,0.0089902,0.0089902
104,391.405,0.08071,0.9434,1,0.3075,0.0089803,0.0089803,0.0089803
105,395.201,0.08094,0.95283,1,0.24293,0.0089704,0.0089704,0.0089704
106,398.922,0.0886,0.91509,1,0.34656,0.0089605,0.0089605,0.0089605
107,402.582,0.08425,0.9434,1,0.17104,0.0089506,0.0089506,0.0089506
108,406.229,0.05816,0.96226,1,0.19158,0.0089407,0.0089407,0.0089407
109,409.932,0.08426,0.95283,1,0.39452,0.0089308,0.0089308,0.0089308
110,413.733,0.08668,0.9434,1,0.20879,0.0089209,0.0089209,0.0089209
111,417.499,0.08808,0.92453,1,0.28796,0.008911,0.008911,0.008911
112,421.22,0.10457,0.92453,1,0.21655,0.0089011,0.0089011,0.0089011
113,424.966,0.09913,0.93396,1,0.36117,0.0088912,0.0088912,0.0088912
114,428.703,0.09374,0.95283,1,0.26971,0.0088813,0.0088813,0.0088813
115,432.417,0.08102,0.95283,1,0.32378,0.0088714,0.0088714,0.0088714
116,436.12,0.1093,0.91509,1,0.33148,0.0088615,0.0088615,0.0088615
117,439.773,0.05734,0.9434,1,0.28712,0.0088516,0.0088516,0.0088516
118,443.475,0.08411,0.95283,1,0.23051,0.0088417,0.0088417,0.0088417
119,447.209,0.07484,0.9434,1,0.18128,0.0088318,0.0088318,0.0088318
120,450.944,0.07495,0.95283,1,0.18747,0.0088219,0.0088219,0.0088219
121,454.691,0.07494,0.92453,1,0.36254,0.008812,0.008812,0.008812
122,458.429,0.06066,0.91509,1,0.32021,0.0088021,0.0088021,0.0088021
123,462.156,0.08712,0.92453,1,0.34921,0.0087922,0.0087922,0.0087922
124,465.824,0.08127,0.92453,1,0.76526,0.0087823,0.0087823,0.0087823
125,469.576,0.08131,0.90566,1,0.35921,0.0087724,0.0087724,0.0087724
126,473.327,0.084,0.91509,1,0.56952,0.0087625,0.0087625,0.0087625
127,477.059,0.08016,0.91509,1,0.43064,0.0087526,0.0087526,0.0087526
128,480.79,0.0643,0.93396,1,0.35077,0.0087427,0.0087427,0.0087427
129,484.768,0.07532,0.9434,1,0.25169,0.0087328,0.0087328,0.0087328
130,488.35,0.06424,0.93396,1,0.25274,0.0087229,0.0087229,0.0087229
131,492.028,0.08049,0.9434,1,0.25,0.008713,0.008713,0.008713
132,495.733,0.04885,0.92453,1,0.29736,0.0087031,0.0087031,0.0087031
133,499.495,0.08763,0.91509,1,0.33765,0.0086932,0.0086932,0.0086932
134,503.182,0.06253,0.9434,1,0.30786,0.0086833,0.0086833,0.0086833
135,506.903,0.03639,0.9434,1,0.42305,0.0086734,0.0086734,0.0086734
136,510.669,0.06376,0.92453,1,0.38656,0.0086635,0.0086635,0.0086635
137,514.453,0.05162,0.93396,1,0.41748,0.0086536,0.0086536,0.0086536
138,518.156,0.0598,0.92453,1,0.25984,0.0086437,0.0086437,0.0086437
139,521.894,0.07065,0.93396,1,0.32843,0.0086338,0.0086338,0.0086338
140,525.55,0.03889,0.9434,1,0.26031,0.0086239,0.0086239,0.0086239
141,529.24,0.05732,0.92453,1,0.52361,0.008614,0.008614,0.008614
142,532.93,0.04442,0.9434,1,0.30026,0.0086041,0.0086041,0.0086041
143,536.699,0.04298,0.9434,1,0.498,0.0085942,0.0085942,0.0085942
144,540.406,0.05227,0.9434,1,0.25674,0.0085843,0.0085843,0.0085843
145,544.168,0.05358,0.93396,1,0.30602,0.0085744,0.0085744,0.0085744
146,547.79,0.04464,0.9434,1,0.2137,0.0085645,0.0085645,0.0085645
147,551.366,0.06726,0.95283,1,0.23809,0.0085546,0.0085546,0.0085546
148,554.998,0.03352,0.9434,1,0.31591,0.0085447,0.0085447,0.0085447
149,558.743,0.0604,0.95283,1,0.28151,0.0085348,0.0085348,0.0085348
150,562.421,0.0333,0.92453,1,0.38428,0.0085249,0.0085249,0.0085249
151,566.167,0.04725,0.9434,1,0.29263,0.008515,0.008515,0.008515
152,569.911,0.06372,0.9434,1,0.31482,0.0085051,0.0085051,0.0085051
153,573.516,0.05252,0.9434,1,0.24507,0.0084952,0.0084952,0.0084952
154,577.18,0.0648,0.95283,1,0.25254,0.0084853,0.0084853,0.0084853
155,580.887,0.0671,0.9434,1,0.36966,0.0084754,0.0084754,0.0084754
156,584.556,0.06529,0.93396,1,0.38361,0.0084655,0.0084655,0.0084655
157,588.231,0.07417,0.9434,1,0.24421,0.0084556,0.0084556,0.0084556
158,591.903,0.05835,0.91509,1,0.32918,0.0084457,0.0084457,0.0084457
159,595.631,0.06642,0.93396,1,0.36323,0.0084358,0.0084358,0.0084358
160,599.355,0.06135,0.93396,1,0.44574,0.0084259,0.0084259,0.0084259
161,603.132,0.05432,0.91509,1,0.42026,0.008416,0.008416,0.008416
162,606.993,0.05109,0.92453,1,0.4324,0.0084061,0.0084061,0.0084061
